Filename,Semantic,Technical,Aesthetic,Overall
source1_1.mp4,-0.05796346813440323,0.8056737184524536,0.35346537828445435,1.1011756286025047
source1_2.mp4,-0.08117945492267609,0.31191375851631165,-0.13418209552764893,0.09655220806598663
source1_3.mp4,-0.06891895085573196,0.3789393901824951,-0.1677791029214859,0.14224133640527725
source1_4.mp4,-0.06302788853645325,0.39386260509490967,0.2208014875650406,0.551636204123497
source1_5.mp4,-0.038028690963983536,0.7993574738502502,0.283794105052948,1.0451228879392147
source2_1.mp4,-0.045146264135837555,0.4097295105457306,0.24588331580162048,0.6104665622115135
source2_2.mp4,-0.05188402906060219,0.29565832018852234,0.24834445118904114,0.4921187423169613
source2_3.mp4,-0.06059250235557556,0.942531406879425,0.3864700496196747,1.2684089541435242
source2_4.mp4,-0.04718073084950447,0.8538222908973694,0.33695098757743835,1.1435925476253033
source2_5.mp4,-0.07740000635385513,0.5726718902587891,0.23926159739494324,0.7345334812998772
