Filename,LPIPS_mean,LPIPS_median,LPIPS_std,LPIPS_min,LPIPS_max,SSIM_mean,SSIM_median,SSIM_std,SSIM_min,SSIM_max
source1_1.mp4,0.8005578286391645,0.7953464388847351,0.02039895039890983,0.7620809078216553,0.8485119938850403,0.07532659445870608,0.07599129831001149,0.006815685656787518,0.06282171091867132,0.09237835969298532
source1_2.mp4,0.582918658483127,0.5875046253204346,0.036327964833146605,0.4639667272567749,0.6464077234268188,0.20024879810515764,0.19143420338168984,0.040536509706242244,0.14263121906303652,0.3725848542073125
source1_3.mp4,0.6845640850461219,0.6810528039932251,0.02673710723156125,0.6450552940368652,0.740935206413269,0.09160117300095887,0.0909248923886075,0.006475198982170138,0.07963915415468174,0.10775912220639354
source1_4.mp4,0.6338509611846986,0.6259089112281799,0.044949331819548695,0.5432783365249634,0.7321435213088989,0.1295771514495784,0.12197103672664451,0.039365857238035575,0.05937079779011397,0.2241261043318444
source1_5.mp4,0.43620274529969394,0.4416849613189697,0.02683703262599008,0.37507423758506775,0.4757600426673889,0.43881627753703933,0.43440869895574097,0.03625944211876953,0.36608552679301126,0.5101232181360187
source2_1.mp4,0.7441601236004475,0.7420092821121216,0.0162496715690172,0.7013365626335144,0.7753863334655762,0.1075941635300145,0.10732472191299214,0.00923100129055439,0.0924381338709403,0.12647627562117256
source2_2.mp4,0.6118283261937544,0.60341477394104,0.029355549111809112,0.5828834176063538,0.6861424446105957,0.08185964568976901,0.08750472156547183,0.015101508001323944,0.03803357198964511,0.09601019622537803
source2_3.mp4,0.7028279693658687,0.70302814245224,0.01488762851153181,0.6704411506652832,0.7368432283401489,0.09143768015102591,0.09120163961245407,0.0035885882322934264,0.08200552175460861,0.09875034276006284
source2_4.mp4,0.6907775180398925,0.6751863956451416,0.05117981101190416,0.6111943125724792,0.8044404983520508,0.09474132966571566,0.09310633967133948,0.017024035358127687,0.06690272656008055,0.1351977412656396
source2_5.mp4,0.5463400527465442,0.537105917930603,0.03872952668291448,0.5004431009292603,0.6327294707298279,0.28187401906165443,0.27578576447316006,0.030358374793600106,0.24295809557790612,0.3647765503061005
